1, 1
91, 8
181, -1
271, 8
361, 2
451, 8
541, 1
631, 8
721, 8
811, 8
901, -1
990, 8
1080, 8
1170, 8
1260, -1
1350, 2
1440, 8
1530, 1
1620, 1
1710, 1
1800, -1
1890, -1
1979, -1
2069, 1
2159, 1
2249, 1
2339, 1
2429, 8
2519, 8
2609, -1
2699, -1
2789, 8
2879, 2
2969, 8
3058, 1
3148, 1
3238, -1
3328, 8
3418, -1
3508, -1
3598, 8
3688, 2
3778, 8
3868, 8
4137, -1
4227, 2
4317, 8
4407, 8
4587, 8
4677, 8
4767, 8
4857, 8
4947, -1
5036, 8
5126, 8
5216, 8
5306, 8
5396, 2
5486, 8
5576, 8
5666, 2
5756, 8
5846, 2
5936, 8
6025, 2
6115, 8
6205, 8
6295, 1
6385, 8
6475, 8
6565, 8
6655, 2
6745, 2
6835, 2
6925, 8
7015, 8
7104, 1
7194, -1
7284, 8
7374, 1
7464, 8
7554, -1
7644, 8
7734, -1
7824, 2
7914, 8
8003, 8
8093, -1
8183, 8
8273, 8
8363, 8
8453, 8
8543, 1
8633, -1
8723, 1
8813, -1
8903, -1
8992, 2
9082, 2
9172, -1
9262, 1
9352, 8
9442, -1
9532, 2
9622, 1
9712, 8
9802, -1
9892, -1
9981, -1
10071, 1
10161, -1
10251, -1
10341, -1
10431, -1
10521, -1
10530, -1
