0, -1
1, 6
91, 5
181, 10
271, 5
361, -1
451, 4
541, 6
631, 6
721, 4
811, 5
901, 11
990, 5
1080, 5
1170, 6
1260, 4
1350, -1
1440, 5
1530, -1
1620, 6
1710, -1
1800, -1
1890, -1
1979, 11
2069, -1
2159, -1
2249, 5
2339, 5
2429, 4
2519, 7
2609, 5
2699, 3
2789, -1
2879, -1
2969, 4
3058, 5
3148, 4
3238, 9
3328, 4
3418, 10
3508, -1
3598, 3
3688, -1
3778, 3
3868, 4
4137, -1
4227, -1
4317, 5
4407, 9
4587, 4
4677, 7
4767, 4
4857, 4
4947, 9
5036, 7
5126, 5
5216, 7
5306, 7
5396, -1
5486, 4
5576, 5
5666, -1
5756, 5
5846, -1
5936, 6
6025, -1
6115, 7
6205, 7
6295, -1
6385, 5
6475, 4
6565, 7
6655, -1
6745, -1
6835, -1
6925, 5
7015, 6
7104, 4
7194, 9
7284, 6
7374, 9
7464, 4
7554, -1
7644, 6
7734, 9
7824, -1
7914, 4
8003, 4
8093, 10
8183, 7
8273, 5
8363, 6
8453, 6
8543, 4
8633, -1
8723, -1
8813, 10
8903, -1
8992, -1
9082, -1
9172, 11
9262, -1
9352, 5
9442, 10
9532, -1
9622, -1
9712, 7
9802, 3
9892, -1
9981, 11
10071, 9
10161, 10
10251, -1
10341, 5
10431, 9
10521, -1
